epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,22656.7,1.59683,0.83086,1.17531,0.92156,0.86881,0.93246,0.57628,1.47692,0.68126,1.17735,0.000198202,0.000198202,0.000198202
89,22926,1.59286,0.83327,1.17773,0.92201,0.86541,0.93251,0.57695,1.47461,0.68245,1.17656,0.000184055,0.000184055,0.000184055
90,23190.7,1.59603,0.83725,1.17705,0.92485,0.86573,0.9315,0.57635,1.47472,0.68464,1.17627,0.000169908,0.000169908,0.000169908
91,23419.9,1.48756,0.72341,1.17947,0.91801,0.86891,0.93167,0.57635,1.47988,0.6826,1.17848,0.000155761,0.000155761,0.000155761
92,23648,1.49125,0.72377,1.17926,0.92633,0.86579,0.93167,0.57623,1.47944,0.68144,1.17982,0.000141614,0.000141614,0.000141614
93,23877.3,1.48,0.71665,1.17975,0.92318,0.86709,0.93123,0.57423,1.47997,0.68259,1.18051,0.000127467,0.000127467,0.000127467
94,24106,1.47981,0.71635,1.17684,0.9214,0.86989,0.93181,0.57601,1.4799,0.68223,1.17907,0.00011332,0.00011332,0.00011332
95,24335.9,1.48008,0.71086,1.17247,0.92009,0.87276,0.93256,0.57521,1.48245,0.67931,1.18032,9.91726e-05,9.91726e-05,9.91726e-05
96,24569.6,1.48471,0.7188,1.17882,0.92361,0.87055,0.9326,0.57519,1.47829,0.67779,1.17869,8.50255e-05,8.50255e-05,8.50255e-05
97,24801.6,1.47333,0.70949,1.18027,0.92472,0.86721,0.93241,0.57711,1.47762,0.67713,1.17825,7.08784e-05,7.08784e-05,7.08784e-05
98,25033.4,1.47024,0.70324,1.18032,0.91819,0.87377,0.93295,0.57727,1.4787,0.67563,1.17904,5.67313e-05,5.67313e-05,5.67313e-05
99,25264.8,1.47578,0.7071,1.17406,0.91712,0.87529,0.93289,0.57641,1.48181,0.6757,1.17995,4.25842e-05,4.25842e-05,4.25842e-05
100,25491.2,1.47196,0.70833,1.17385,0.92052,0.87274,0.93278,0.5771,1.4789,0.67455,1.17871,2.84371e-05,2.84371e-05,2.84371e-05
