epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,18472.3,1.55659,0.74608,1.0834,0.92898,0.84897,0.91711,0.55649,1.43475,0.62393,1.06939,0.000424556,0.000424556,0.000424556
73,18682.5,1.54244,0.73761,1.07907,0.92559,0.84979,0.91844,0.55582,1.4406,0.62616,1.07003,0.000410409,0.000410409,0.000410409
74,18891,1.55487,0.74082,1.08004,0.92072,0.8564,0.91835,0.5545,1.44551,0.62693,1.07339,0.000396262,0.000396262,0.000396262
75,19093.2,1.54099,0.73723,1.08307,0.92549,0.85185,0.91828,0.55461,1.44731,0.6251,1.07488,0.000382115,0.000382115,0.000382115
76,19293.8,1.54332,0.73439,1.07697,0.92271,0.85617,0.91817,0.55642,1.4409,0.62302,1.07102,0.000367967,0.000367967,0.000367967
77,19508.8,1.55553,0.73677,1.07619,0.92544,0.85271,0.91853,0.55617,1.44305,0.62271,1.07084,0.00035382,0.00035382,0.00035382
78,19715.4,1.54755,0.739,1.08084,0.93078,0.8488,0.91987,0.55862,1.43934,0.62013,1.06986,0.000339673,0.000339673,0.000339673
79,19913.3,1.54971,0.73317,1.0753,0.92693,0.85518,0.9201,0.56029,1.42889,0.61779,1.06682,0.000325526,0.000325526,0.000325526
80,20115.7,1.52784,0.72425,1.07904,0.92027,0.85765,0.91942,0.56122,1.43082,0.61456,1.06683,0.000311379,0.000311379,0.000311379
81,20320.5,1.54898,0.73394,1.07669,0.92721,0.85375,0.91927,0.56177,1.43278,0.61647,1.06826,0.000297232,0.000297232,0.000297232
82,20521.7,1.53809,0.73182,1.08018,0.92501,0.85564,0.9197,0.56385,1.42517,0.61429,1.06445,0.000283085,0.000283085,0.000283085
83,20734.3,1.52761,0.72684,1.0812,0.92518,0.85496,0.92141,0.56384,1.42804,0.61481,1.06563,0.000268938,0.000268938,0.000268938
84,20940.2,1.53139,0.73027,1.08023,0.93077,0.85146,0.91882,0.56003,1.43279,0.61665,1.06831,0.000254791,0.000254791,0.000254791
85,21141.3,1.53808,0.72065,1.06811,0.92809,0.84701,0.91901,0.56078,1.43198,0.61585,1.06568,0.000240644,0.000240644,0.000240644
86,21343,1.53386,0.72137,1.07369,0.92498,0.85287,0.91877,0.56067,1.43244,0.61555,1.06519,0.000226497,0.000226497,0.000226497
87,21544.1,1.5221,0.72034,1.07127,0.92946,0.85472,0.9222,0.56249,1.43298,0.6136,1.06602,0.000212349,0.000212349,0.000212349
88,21751.9,1.53565,0.71658,1.06925,0.92808,0.85371,0.92137,0.56277,1.43116,0.61449,1.06559,0.000198202,0.000198202,0.000198202
89,21964.9,1.52564,0.71838,1.07404,0.93318,0.85165,0.92113,0.56292,1.4274,0.61262,1.06369,0.000184055,0.000184055,0.000184055
90,22171.6,1.53061,0.72009,1.07232,0.93381,0.84988,0.92082,0.56301,1.42893,0.61238,1.06403,0.000169908,0.000169908,0.000169908
91,22352.2,1.42747,0.63406,1.0761,0.9281,0.85086,0.91953,0.56169,1.43318,0.61202,1.06727,0.000155761,0.000155761,0.000155761
92,22529.3,1.43256,0.63494,1.07057,0.93754,0.84858,0.92001,0.56358,1.43148,0.6101,1.0662,0.000141614,0.000141614,0.000141614
93,22709.9,1.42343,0.63032,1.07242,0.93099,0.85206,0.92106,0.56336,1.4324,0.61039,1.0666,0.000127467,0.000127467,0.000127467
94,22900.4,1.42239,0.62645,1.07102,0.92694,0.85447,0.92064,0.56469,1.43034,0.60841,1.06606,0.00011332,0.00011332,0.00011332
95,23085.8,1.42027,0.62085,1.06724,0.93464,0.85412,0.92202,0.56321,1.43116,0.60842,1.06633,9.91726e-05,9.91726e-05,9.91726e-05
96,23272.7,1.42117,0.62869,1.06794,0.92906,0.85758,0.92114,0.56347,1.43023,0.6078,1.06573,8.50255e-05,8.50255e-05,8.50255e-05
97,23451.9,1.41401,0.62432,1.07073,0.93005,0.8562,0.9204,0.56501,1.4286,0.60653,1.06495,7.08784e-05,7.08784e-05,7.08784e-05
98,23628.5,1.41034,0.61906,1.06902,0.92662,0.8554,0.92062,0.56581,1.42821,0.60571,1.06515,5.67313e-05,5.67313e-05,5.67313e-05
99,23820.5,1.41749,0.61918,1.06977,0.92877,0.85367,0.92044,0.56362,1.43211,0.60603,1.06692,4.25842e-05,4.25842e-05,4.25842e-05
100,24002.6,1.4151,0.62101,1.06911,0.92998,0.85503,0.92101,0.56482,1.43007,0.60527,1.06629,2.84371e-05,2.84371e-05,2.84371e-05
