epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,18780.7,1.58854,0.78972,1.07643,0.92068,0.84174,0.90831,0.5565,1.42204,0.64767,1.04961,0.000622615,0.000622615,0.000622615
59,19131.2,1.57404,0.78126,1.07425,0.92163,0.84642,0.9096,0.5598,1.41338,0.64503,1.04589,0.000608468,0.000608468,0.000608468
60,19894,1.58217,0.7863,1.07082,0.92122,0.84692,0.90958,0.56021,1.41178,0.64658,1.04642,0.000594321,0.000594321,0.000594321
61,20668.3,1.58211,0.77751,1.06785,0.91846,0.84901,0.90989,0.56082,1.41057,0.64345,1.04582,0.000580174,0.000580174,0.000580174
62,21323.9,1.57585,0.77898,1.07065,0.92819,0.8394,0.91013,0.56033,1.40789,0.64342,1.04223,0.000566027,0.000566027,0.000566027
63,21667.5,1.57878,0.78223,1.07149,0.92108,0.84579,0.90959,0.56181,1.40766,0.6438,1.04092,0.00055188,0.00055188,0.00055188
64,22388.3,1.56904,0.77248,1.06743,0.92637,0.84044,0.9106,0.5619,1.41021,0.63981,1.04145,0.000537733,0.000537733,0.000537733
65,23139.2,1.58107,0.77791,1.06884,0.92813,0.84216,0.91128,0.56241,1.40449,0.63718,1.04384,0.000523586,0.000523586,0.000523586
66,23943.1,1.56935,0.7666,1.06259,0.9262,0.84499,0.91321,0.56243,1.40955,0.63521,1.044,0.000509438,0.000509438,0.000509438
67,24651.9,1.57092,0.76867,1.06777,0.92631,0.84457,0.91289,0.56538,1.40386,0.63506,1.04194,0.000495291,0.000495291,0.000495291
68,24925,1.55671,0.76187,1.06816,0.92195,0.847,0.913,0.56302,1.40333,0.64088,1.04223,0.000481144,0.000481144,0.000481144
69,25190,1.55944,0.76669,1.06376,0.91115,0.85288,0.91285,0.56701,1.40184,0.63167,1.03997,0.000466997,0.000466997,0.000466997
70,25820.7,1.55966,0.75942,1.0634,0.91525,0.85246,0.91314,0.56486,1.40043,0.63363,1.04156,0.00045285,0.00045285,0.00045285
71,26279.8,1.55543,0.75782,1.0664,0.91413,0.85596,0.91488,0.56684,1.39973,0.63048,1.03976,0.000438703,0.000438703,0.000438703
72,26558.9,1.56554,0.7618,1.0642,0.91457,0.85276,0.91408,0.56783,1.39916,0.63356,1.04024,0.000424556,0.000424556,0.000424556
73,26985.9,1.5515,0.7506,1.06051,0.92799,0.84468,0.91346,0.56793,1.40117,0.63161,1.03934,0.000410409,0.000410409,0.000410409
74,27387,1.5644,0.75535,1.06059,0.92508,0.8461,0.91527,0.57071,1.39483,0.62945,1.03608,0.000396262,0.000396262,0.000396262
75,27866.4,1.5482,0.75259,1.06219,0.92682,0.84265,0.91495,0.56962,1.39477,0.62615,1.03643,0.000382115,0.000382115,0.000382115
