epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,12137.1,1.51203,0.7011,1.07459,0.91262,0.8718,0.92329,0.56209,1.43412,0.60147,1.08568,0.000212349,0.000212349,0.000212349
88,12276.6,1.51725,0.70094,1.0727,0.91629,0.86624,0.92352,0.56119,1.43606,0.60248,1.08667,0.000198202,0.000198202,0.000198202
89,12415.3,1.50573,0.69409,1.07632,0.91818,0.8689,0.92323,0.56116,1.43523,0.60123,1.08603,0.000184055,0.000184055,0.000184055
90,12553.6,1.50576,0.69001,1.07112,0.91979,0.86726,0.92291,0.56192,1.43244,0.60162,1.08595,0.000169908,0.000169908,0.000169908
91,12734,1.40783,0.6145,1.0797,0.92092,0.86266,0.92344,0.56358,1.43475,0.60258,1.08545,0.000155761,0.000155761,0.000155761
92,12870.8,1.39779,0.60895,1.07446,0.92061,0.85981,0.92191,0.5649,1.43425,0.60378,1.08545,0.000141614,0.000141614,0.000141614
93,13006.3,1.39793,0.60745,1.07358,0.91961,0.86511,0.92297,0.56417,1.43289,0.60284,1.08408,0.000127467,0.000127467,0.000127467
94,13142.7,1.39173,0.60062,1.0771,0.92193,0.8619,0.92267,0.56384,1.43201,0.60109,1.08425,0.00011332,0.00011332,0.00011332
95,13277.3,1.40227,0.61039,1.07611,0.92366,0.86257,0.9224,0.56406,1.4326,0.60129,1.08542,9.91726e-05,9.91726e-05,9.91726e-05
96,13414,1.39973,0.60236,1.07167,0.9275,0.8608,0.92279,0.56276,1.43286,0.60105,1.08659,8.50255e-05,8.50255e-05,8.50255e-05
97,13548.7,1.39642,0.60114,1.07399,0.92341,0.86445,0.923,0.56421,1.4326,0.60071,1.08674,7.08784e-05,7.08784e-05,7.08784e-05
98,13682.9,1.39461,0.59682,1.07023,0.92292,0.86459,0.9234,0.56466,1.43338,0.60031,1.08645,5.67313e-05,5.67313e-05,5.67313e-05
99,13815.9,1.38943,0.60123,1.07336,0.9261,0.86433,0.92368,0.56595,1.4306,0.59834,1.08396,4.25842e-05,4.25842e-05,4.25842e-05
100,13952.7,1.38448,0.59762,1.07031,0.92661,0.86275,0.9238,0.56463,1.4337,0.59865,1.08534,2.84371e-05,2.84371e-05,2.84371e-05
